tweeter; mentioned
juancommander; PesquisaFapesp
tafanor; csugimoto
tafanor; IUBloomington
tafanor; WebSciConf
ronaldfar; juancommander
DrFishmarketing; CEHScienceNews
sibelefausto; juancommander
stefhaustein; herrison
stefhaustein; habib
stefhaustein; skonkiel
stefhaustein; Isabella83
herrison; habib
herrison; habib
library_connect; mfenner
Impactstory; abugseye
Impactstory; abugseye
iaravps; abugseye
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; wellcometrust
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
skonkiel; owleryeatery
skonkiel; Finchsbrasserie
abugseye; gbilder
RouhiRoo; altmetric
giustini; abugseye
giustini; habib
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; CrossRefNews
RouhiRoo; altmetric
abugseye; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
stefhaustein; kwelle
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
iaravps; juancommander
RouhiRoo; altmetric
RouhiRoo; abugseye
mrgunn; Impactstory
mrgunn; drricky
mrgunn; redescielo
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
mfenner; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; Stew
RouhiRoo; mfenner
RouhiRoo; habib
RouhiRoo; researchremix
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; abugseye
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; ZohrehZahedi
RouhiRoo; RodrigoCostas1
iaravps; eomalea
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
mfenner; ZohrehZahedi
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
juancommander; RouhiRoo
juancommander; RodrigoCostas1
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; ZohrehZahedi
mfenner; rOpenSci
juancommander; mfenner
juancommander; PLOSALM
Impactstory; JASIST
RouhiRoo; altmetric
RouhiRoo; JASIST
Impactstory; JASIST
RouhiRoo; altmetric
RouhiRoo; mfenner
abugseye; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
stefhaustein; mfenner
stefhaustein; mendeleyAPI
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; PLOSONE
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; PLOS
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; PLOSONE
RouhiRoo; altmetric
RouhiRoo; mfenner
abugseye; ZohrehZahedi
abugseye; mfenner
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; TAC_NISO
RodrigoCostas1; mfenner
juancommander; iaravps
iaravps; juancommander
RouhiRoo; altmetric
stefhaustein; lariviev
stefhaustein; csugimoto
stefhaustein; timothydbowman
Impactstory; kholmber
Impactstory; PLOS
Impactstory; nature
Impactstory; kholmber
abugseye; mfenner
eomalea; RodrigoCostas1
eomalea; stefhaustein
RodrigoCostas1; stefhaustein
RodrigoCostas1; stefhaustein
Impactstory; altmetric
abugseye; stefhaustein
Impactstory; stefhaustein
tafanor; WebSciConf
tafanor; stefhaustein
tafanor; csugimoto
tafanor; lariviev
RodrigoCostas1; stefhaustein
ernestopriego; HEFCE
iaravps; RouhiRoo
iaravps; altmetric
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; jenniferlin15
ernestopriego; figshare
Impactstory; Wikipedia
Impactstory; PLOS
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; jenniferlin15
Impactstory; PLOS
Impactstory; Wikipedia
Impactstory; F1000
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; jenniferlin15
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; jenniferlin15
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; jenniferlin15
Impactstory; PLOS
RouhiRoo; altmetric
RouhiRoo; mfenner
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; RodrigoCostas1
iaravps; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
ernestopriego; RouhiRoo
ernestopriego; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; juancommander
ernestopriego; juancommander
mfenner; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; juancommander
RouhiRoo; redescielo
mfenner; juancommander
mfenner; juancommander
RouhiRoo; altmetric
RouhiRoo; juancommander
herrison; juancommander
Impactstory; juancommander
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; IUBloomington
RouhiRoo; altmetric
RouhiRoo; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
kwelle; RodrigoCostas1
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; wellcometrust
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; researchremix
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; rrkennison
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
abugseye; almetric
Impactstory; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
stefhaustein; Stew
stefhaustein; Publons
stefhaustein; PubPeer
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
stefhaustein; Stew
stefhaustein; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
kwelle; altmetric
kwelle; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
abugseye; altmetric
abugseye; Stew
stefhaustein; altmetric
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; portablebrain
RouhiRoo; altmetric
RouhiRoo; Stew
kwelle; Stew
RouhiRoo; altmetric
RouhiRoo; Stew
RouhiRoo; altmetric
