"","title","doi","arxiv_id","ads_id","altmetric_jid","issns","journal","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","type","altmetric_id","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","cited_by_wikipedia_count","score","citeulike","mendeley","connotea","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","pmid","abstract","abstract_source","pmc","cited_by_pinners_count","cited_by_videos_count","schema","is_oa","cited_by_posts_count.1","cited_by_tweeters_count.1","cited_by_accounts_count.1","cited_by_wikipedia_count.1","cited_by_weibo_count","cited_by_policies_count","isbns"
"1","Economic small-world behavior in weighted networks","10.1140/epjb/e2003-00095-5","cond-mat/0204089","2003EPJB...32..249L","4f6fa4eb3cf058f610002865","1434-6028,1434-6036,","European Physical Journal B -- Condensed Matter","4522755","5.2848280542506","1042562","64","2913842","191","9.8931052631579","85","36","69","153086","8.906201286867","44724","69","106448","11","11.55","4","63","7","article","3453869",NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,"2","201","2","http://dx.doi.org/10.1140/epjb/e2003-00095-5",1423576109,1046476800,",","Physics and Astronomy, Materials Science, Physical Sciences, ",1416272522,205,"http://www.altmetric.com/details.php?citation_id=3453869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Defining and identifying communities in networks","10.1073/pnas.0400054101","cond-mat/0309488","2004PNAS..101.2658R","4f6fa5133cf058f6100033a0",",","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"33","501","2","http://dx.doi.org/10.1073/pnas.0400054101",1337667952,3600,",","General, ",1337649518,536,"http://www.altmetric.com/details.php?citation_id=754878","14981240","The investigation of community structures in networks is an important issue in many domains and disciplines. This problem is relevant for social tasks (objective analysis of relationships on the web), biological inquiries (functional studies in metabolic and protein networks), or technological problems (optimization of large infrastructures). Several types of algorithms exist for revealing the community structure in networks, but a general and quantitative definition of community is not implemented in the algorithms, leading to an intrinsic difficulty in the interpretation of the results without any additional nontopological information. In this article we deal with this problem by showing how quantitative definitions of community are implemented in practice in the existing algorithms. In this way the algorithms for the identification of the community structure become fully self-contained. Furthermore, we propose a local algorithm to detect communities which outperforms the existing algorithms with respect to computational cost, keeping the same level of reliability. The algorithm is tested on artificial and real-world graphs. In particular, we show how the algorithm applies to a network of scientific collaborations, which, for its size, cannot be attacked with the usual methods. This type of local algorithm could open the way to applications to large-scale technological and biological systems.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Self-similarity of complex networks","10.1038/nature03248","cond-mat/0503078","2005Natur.433..392S","4f6fa50a3cf058f610003160","0028-0836,","Nature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,1,4.5,"51","511","5","http://dx.doi.org/10.1038/nature03248",1401308371,1106784000,"science,","General, ",1423816787,567,"http://www.altmetric.com/details.php?citation_id=2386427","15674285","Complex networks have been studied extensively owing to their relevance to many real systems such as the world-wide web, the Internet, energy landscapes and biological and social networks. A large number of real networks are referred to as 'scale-free' because they show a power-law distribution of the number of links per node. However, it is widely believed that complex networks are not invariant or self-similar under a length-scale transformation. This conclusion originates from the 'small-world' property of these networks, which implies that the number of nodes increases exponentially with the 'diameter' of the network, rather than the power-law relation expected for a self-similar structure. Here we analyse a variety of real complex networks and find that, on the contrary, they consist of self-repeating patterns on all length scales. This result is achieved by the application of a renormalization procedure that coarse-grains the system into boxes containing nodes within a given 'size'. We identify a power-law relation between the number of boxes needed to cover the network and the size of the box, defining a finite self-similar exponent. These fundamental properties help to explain the scale-free nature of complex networks and suggest a common self-organization dynamics.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Modularity and community structure in networks","10.1073/pnas.0601602103","physics/0602124","2006PNAS..103.8577N","4f6fa5133cf058f6100033a0","0027-8424,1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,7,15,2,NA,NA,NA,NA,NA,1,3,22.976,"101","828","8","http://dx.doi.org/10.1073/pnas.0601602103",NA,1149552000,"science,","General, ",1446318576,279,"http://www.altmetric.com/details.php?citation_id=109423","16723398","Many networks of interest in the sciences, including social networks, computer networks, and metabolic and regulatory networks, are found to divide naturally into communities or modules. The problem of detecting and characterizing this community structure is one of the outstanding issues in the study of networked systems. One highly effective approach is the optimization of the quality function known as ""modularity"" over the possible divisions of a network. Here I show that the modularity can be expressed in terms of the eigenvectors of a characteristic matrix for the network, which I call the modularity matrix, and that this expression leads to a spectral algorithm for community detection that returns results of demonstrably higher quality than competing methods in shorter running times. I illustrate the method with applications to several published network data sets.",NA,"PMC1482622",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Detecting rich-club ordering in complex networks","10.1038/nphys209","physics/0602134","2006NatPh...2..110C","4f6fa52f3cf058f61000426f","1745-2473,1745-2481,","Nature Physics","4505992","5.1115236646191","751954","82","3734546","1456","14.43523161512","707","51","747","67601","4.2865873964497","10494","84","56878","29","8.8095","13","55","16","article","400281",NA,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,5,"7","250","5","http://dx.doi.org/10.1038/nphys209",1318425369,1137283200,",","Physics and Astronomy, Physical Sciences, ",1415921799,259,"http://www.altmetric.com/details.php?citation_id=400281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Nonequilibrium phase transition in the coevolution of networks and opinions","10.1103/physreve.74.056108","physics/0603023","2006PhRvE..74e6108H","arxiv",",","arXiv","4507652","5.1453542744813","2294894","35","1620071","5151","1.6953887378641","1524","59","3073","116199","8.0609099812391","56115","40","46786","36","1.6614285714286","11","63","23","article","2660112",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","191","0","http://dx.doi.org/10.1103/physreve.74.056108",1409953864,1136073600,",",", ",1409953808,191,"http://www.altmetric.com/details.php?citation_id=2660112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Structural Inference of Hierarchies in Networks","10.1007/978-3-540-73133-7_1","physics/0610051","2006physics..10051C","4f6fa60d3cf058f610006c0e",",","Bernoulli","4505285","5.0995569853359","407809","90","4097542","52","4.422431372549","6","88","46","3440876","5.7242274247795","355940","89","3084907","50","4.6208979591837","6","88","44","article","117615",NA,NA,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,9.32,"7","194","0","http://dx.doi.org/10.1007/978-3-540-73133-7_1",NA,1136073600,",","Mathematics, Physical Sciences, ",1368465103,201,"http://www.altmetric.com/details.php?citation_id=117615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","An information-theoretic framework for resolving community structure in complex networks","10.1073/pnas.0611034104","physics/0612035","2007PNAS..104.7327R","4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,4,7,NA,NA,NA,NA,NA,NA,NA,2,6.5,"18","263","3","http://dx.doi.org/10.1073/pnas.0611034104",1387040069,1177977600,"science,","General, ",1403028139,284,"http://www.altmetric.com/details.php?citation_id=1979870","17452639","To understand the structure of a large-scale biological, social, or technological network, it can be helpful to decompose the network into smaller subunits or modules. In this article, we develop an information-theoretic foundation for the concept of modularity in networks. We identify the modules of which the network is composed by finding an optimal compression of its topology, capitalizing on regularities in its structure. We explain the advantages of this approach and illustrate them by partitioning a number of real-world and model networks.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Classes of complex networks defined by role-to-role connectivity profiles","10.1038/nphys489",NA,"2007NatPh...3...63G","4f6fa52f3cf058f61000426f","1745-2473,1745-2481,","Nature Physics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,7,3,NA,NA,NA,NA,NA,NA,NA,21.244,"15","262","3","http://dx.doi.org/10.1038/nphys489",NA,1166918400,",","Physics and Astronomy, Physical Sciences, ",1442925866,280,"http://www.altmetric.com/details.php?citation_id=109405","18618010","In physical, biological, technological and social systems, interactions between units give rise to intricate networks. These-typically non-trivial-structures, in turn, critically affect the dynamics and properties of the system. The focus of most current research on complex networks is, still, on global network properties. A caveat of this approach is that the relevance of global properties hinges on the premise that networks are homogeneous, whereas most real-world networks have a markedly modular structure. Here, we report that networks with different functions, including the Internet, metabolic, air transportation and protein interaction networks, have distinct patterns of connections among nodes with different roles, and that, as a consequence, complex networks can be classified into two distinct functional classes on the basis of their link type frequency. Importantly, we demonstrate that these structural features cannot be captured by means of often studied global properties.","pubmed","PMC2447920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Analysis of a large-scale weighted network of one-to-one human communication","10.1088/1367-2630/9/6/179","physics/0702158","2007NJPh....9..179O","4f6fa50e3cf058f6100031c9","1367-2630,","New Journal of Physics","3634360","4.9196455088828","815901","63","2295819","2049","3.3294638671875","304","82","1691","96243","8.2912051079571","25208","72","69937","184","2.0489398907104","9","95","175","article","3603731",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,"14","169","2","http://dx.doi.org/10.1088/1367-2630/9/6/179",1423850582,1182988800,",","Physics and Astronomy, Physical Sciences, ",1280456887,185,"http://www.altmetric.com/details.php?citation_id=3603731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
